fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",3.08,39%,2.79,54%,2.16,36%,62%,0.0
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.50,39%,76%,0.5
Nick Diaz,"6' 1""",185 lbs.,"76""",Southpaw,"Aug 02, 1983",5.43,42%,3.56,61%,1.32,33%,60%,1.0
Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.62,45%,3.78,53%,1.19,30%,42%,1.4
Adrian Diaz,"5' 10""",145 lbs.,,Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.40,50%,0%,0.0
Mark Dickman,"5' 9""",145 lbs.,,,"Jul 19, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Diaz,,260 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Diekmann,"5' 4""",246 lbs.,,,"Oct 09, 1976",0.28,5%,8.17,25%,0.00,0%,0%,0.0
Kyle Dietz,"5' 8""",135 lbs.,,Orthodox,"Apr 29, 1986",1.82,45%,2.08,62%,0.00,0%,0%,0.0
Ryan Diaz,,145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Seth Dikun,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",1.45,26%,2.18,55%,0.00,0%,45%,0.9
TJ Dillashaw,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",5.37,41%,3.03,65%,1.68,37%,86%,1.0
Matt Dixon,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",1.97,43%,4.56,37%,3.06,30%,0%,0.0
Rodolfo Marques Diniz,"5' 6""",135 lbs.,,,"Jan 23, 1984",1.08,32%,2.36,33%,0.00,0%,50%,1.8
Ralph Dillon,"6' 2""",205 lbs.,,Orthodox,,0.34,14%,0.69,60%,0.00,0%,0%,0.0
Drew Dimanlig,,185 lbs.,,,,3.70,73%,3.17,20%,0.00,0%,0%,0.0
Rico DiSciullo,"5' 8""",135 lbs.,,Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.00,0%,0%,0.0
Helio Dipp,"6' 5""",185 lbs.,,Orthodox,,0.60,25%,1.80,62%,0.00,0%,50%,0.0
John Dixson,"6' 0""",275 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Do,"5' 4""",125 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
David Dodd,"6' 2""",200 lbs.,,Orthodox,"Sep 22, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.33,40%,3.87,54%,0.80,17%,55%,0.1
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,37%,5.20,50%,0.84,50%,14%,0.0
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3
Mike Dolce,"5' 11""",185 lbs.,,,"Apr 15, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0
Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.00,0%,0%,0.0
OJ Dominguez,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Donaldson,"5' 8""",145 lbs.,,,"Jul 09, 1992",1.21,23%,4.22,51%,0.00,0%,0%,0.0
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2
Dennis Dombrow,,145 lbs.,,,"Mar 17, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7
Houston Dorr,"6' 1""",210 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,"Jul 15, 1988",2.98,51%,1.75,61%,1.75,50%,33%,2.2
Geronimo dos Santos,"6' 3""",264 lbs.,,Orthodox,"Aug 17, 1980",1.09,33%,8.73,41%,0.00,0%,33%,0.0
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.66,28%,4.80,55%,1.30,18%,66%,0.9
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,"Jul 21, 1988",5.40,51%,3.94,43%,0.00,0%,100%,0.0
Oleksandr Doskalchuk,"5' 6""",125 lbs.,,Southpaw,"Mar 13, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.30,50%,81%,0.1
Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.49,46%,3.22,61%,1.93,37%,58%,0.6
David Douglas,"5' 11""",155 lbs.,,,"Aug 16, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jordan Dowdy,,170 lbs.,,,,2.11,44%,2.63,50%,0.00,0%,0%,0.0
Damion Douglas,,170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Derek Downey,"6' 1""",185 lbs.,,Orthodox,"Apr 27, 1980",0.32,100%,3.36,12%,2.40,16%,0%,0.0
John Dowdy,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Doyle,"5' 11""",205 lbs.,,Orthodox,"Nov 21, 1976",3.50,44%,10.51,27%,0.00,0%,0%,0.0
Kyle Driscoll,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32%,2.60,58%,2.00,18%,0%,0.0
Edson Drago,"6' 4""",220 lbs.,,Orthodox,"Aug 29, 1977",1.16,40%,2.39,36%,0.00,0%,55%,0.0
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34%,3.53,37%,0.00,0%,37%,0.5
Chris Drumm,"5' 8""",145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,"Aug 09, 1968",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,3.55,60%,82%,0.4
Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,"Oct 05, 1981",0.00,0%,0.00,0%,7.32,100%,0%,21.9
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",7.72,44%,4.16,67%,0.00,0%,0%,0.0
Joe Duarte,,155 lbs.,,,"Jan 25, 1977",2.27,38%,4.00,53%,3.00,50%,69%,1.0
Antonio Duarte,"5' 7""",135 lbs.,,,,4.55,40%,4.18,57%,0.00,0%,60%,0.0
Norma Dumont,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",5.35,55%,2.65,72%,2.43,42%,100%,0.0
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9
Adin Duenas,"5' 6""",145 lbs.,,,"Jul 02, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.50,50%,50%,0.0
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,"Nov 04, 1977",0.00,0%,0.67,75%,0.00,0%,66%,0.0
Alex Dunworth,"5' 8""",155 lbs.,,,,1.94,31%,8.71,35%,0.00,0%,50%,0.0
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.11,48%,3.93,41%,3.28,26%,50%,0.8
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,"May 06, 1982",3.92,50%,4.80,41%,0.00,0%,100%,0.0
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,"Sep 03, 1987",4.74,54%,5.95,33%,0.00,0%,83%,0.0
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45%,5.30,62%,0.42,25%,46%,0.0
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,,0.00,0%,2.40,40%,0.00,0%,0%,0.0
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",4.50,48%,3.17,63%,0.00,0%,75%,0.0
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",3.91,39%,2.08,61%,7.71,43%,80%,0.3
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,,0.50,55%,0.20,33%,3.00,100%,0%,0.0
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.30,20%,68%,0.0
Cody East,"6' 3""",245 lbs.,,Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,37%,4.28,61%,0.75,22%,66%,0.0
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0
Vincent Eazelle,"5' 11""",155 lbs.,,,"Dec 07, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Maurice Eazel,"5' 7""",135 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,49%,2.14,56%,1.70,23%,61%,0.1
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,"May 18, 1975",0.74,50%,0.74,62%,3.70,100%,0%,0.0
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,45%,2.98,54%,1.45,22%,63%,0.0
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.89,38%,3.34,63%,0.00,0%,62%,0.5
Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,"Nov 25, 1991",10.22,61%,0.13,92%,3.98,100%,0%,2.0
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.70,39%,2.71,66%,2.28,31%,65%,0.3
Adli Edwards,,145 lbs.,,,"Aug 28, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Stephanie Egger,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",0.67,31%,1.33,52%,1.00,16%,40%,0.0
Tom Egan,"5' 11""",170 lbs.,,Orthodox,,0.00,0%,3.91,50%,0.00,0%,28%,0.0
Joselyne Edwards,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.20,53%,3.83,46%,0.50,16%,37%,0.5
Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.50,41%,4.15,44%,0.72,100%,44%,0.0
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,42%,3.32,51%,2.14,26%,27%,1.0
Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.56,47%,2.03,55%,1.35,30%,70%,0.4
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7
John Elam,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,"Dec 10, 1975",2.15,52%,3.05,52%,1.73,55%,43%,0.0
John Paul Elias,"6' 4""",205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6
Saul Elizondo,"5' 7""",135 lbs.,,,"Jul 17, 1985",2.07,30%,4.93,48%,2.00,100%,66%,1.0
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.50,38%,3.08,52%,2.70,33%,58%,1.2
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,,3.40,69%,1.53,68%,4.00,66%,50%,2.0
Cameron Else,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.92,36%,5.58,58%,0.00,0%,0%,0.0
Lisa Ellis,"5' 4""",115 lbs.,,,"Nov 15, 1982",1.68,48%,2.32,57%,4.19,63%,50%,0.6
Anna Elmose,"5' 3""",115 lbs.,,Orthodox,"Oct 06, 1984",3.68,49%,4.64,56%,0.00,0%,33%,0.0
Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.35,45%,2.49,59%,4.01,49%,58%,1.1
Aaron Ely,"5' 8""",135 lbs.,,,"Mar 18, 1989",0.82,15%,0.66,69%,2.47,100%,50%,4.9
Sovannahry Em,"5' 4""",135 lbs.,,,"Jun 26, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,"Aug 02, 1981",2.75,41%,1.70,65%,2.32,72%,66%,0.9
Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.50,30%,2.83,64%,2.02,52%,65%,0.4
Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.50,45%,1.98,66%,2.33,29%,66%,0.5
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.32,39%,4.02,63%,1.43,47%,50%,0.1
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.75,52%,4.65,54%,2.90,53%,100%,0.0
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51%,1.00,63%,2.00,63%,82%,1.9
Kevin Engel,"6' 2""",170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marius Enache,"5' 11""",155 lbs.,,,"Oct 16, 1975",1.71,34%,0.66,84%,3.94,100%,0%,3.9
Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,36%,3.55,37%,0.87,16%,0%,0.0
Alex Enlund,"5' 10""",145 lbs.,,Orthodox,"May 27, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,"Nov 19, 1986",0.11,7%,7.36,31%,0.00,0%,0%,12.1
Kenny Ento,"6' 2""",192 lbs.,,,,8.41,79%,0.00,100%,5.49,100%,0%,11.0
Won Jin Eoh,"5' 7""",160 lbs.,,Orthodox,,3.74,44%,3.58,46%,0.00,0%,50%,0.0
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23%,5.32,57%,0.00,0%,58%,0.0
Josh Epps,,130 lbs.,,,"Aug 23, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,,0.94,47%,1.87,25%,4.68,60%,100%,6.2
Konstantin Erokhin,"5' 11""",230 lbs.,,Orthodox,"Jan 31, 1983",1.07,36%,1.83,47%,0.00,0%,70%,0.0
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",5.07,47%,5.72,50%,1.32,54%,58%,0.9
Nick Ertl,"5' 9""",155 lbs.,,,,1.34,69%,1.59,41%,1.88,50%,0%,0.0
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,4.06,54%,1.13,61%,4.25,100%,50%,1.4
Bobby Escalante,,130 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Esch,"5' 11""",350 lbs.,,Orthodox,"Aug 03, 1968",3.07,71%,1.74,43%,0.00,0%,0%,2.0
Pro Escobedo,,205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,0.43,33%,13%,0.0
Evan Esguerra,,145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.30,63%,1.31,40%,66%,0.8
Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3
Juan Espino,"6' 3""",250 lbs.,"80""",,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.10,31%,7.37,52%,0.75,21%,83%,0.0
Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.22,52%,2.94,57%,0.75,28%,70%,0.2
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4
Scott Ettling,,135 lbs.,,,,0.00,0%,0.54,83%,8.04,100%,0%,0.0
Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.52,43%,3.69,57%,1.88,46%,65%,0.4
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.60,19%,61%,0.2
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0
Doug Evans,"5' 9""",155 lbs.,,Orthodox,"Oct 10, 1980",1.79,35%,2.55,55%,3.19,83%,69%,0.6
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.54,34%,4.69,55%,1.10,23%,66%,0.0
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,"Jun 01, 1974",0.27,10%,3.86,38%,0.00,0%,0%,4.0
Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.42,41%,4.25,52%,0.29,66%,70%,0.1
Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.70,44%,2.83,64%,2.75,37%,70%,0.0
Neal Ewing,,185 lbs.,,,"Sep 30, 1985",2.27,60%,1.93,48%,5.00,62%,0%,0.0
Edward Faaloloto,,155 lbs.,"70""",,"Jul 15, 1984",2.28,32%,6.25,44%,1.01,25%,33%,0.0
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.76,37%,4.01,55%,0.45,40%,57%,0.5
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4
Melinda Fabian,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987",4.03,41%,4.00,62%,0.00,0%,100%,0.0
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.65,40%,2.59,64%,1.54,30%,58%,0.8
Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,"Aug 16, 1979",0.39,40%,8.90,42%,0.00,0%,0%,0.0
Jason Fairn,"6' 1""",230 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.20,69%,1.35,53%,7.08,69%,80%,0.0
Rinat Fakhretdinov,"6' 0""",185 lbs.,,,"Sep 28, 1991",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Zarah Fairn,"5' 8""",145 lbs.,"72""",Orthodox,"Dec 12, 1986",1.98,45%,6.61,39%,0.00,0%,50%,0.0
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,1.00,100%,71%,3.0
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980",1.69,45%,2.17,53%,0.90,50%,20%,0.9
Joao Paulo Faria,"5' 9""",155 lbs.,,,,6.69,64%,2.09,85%,1.25,50%,0%,1.2
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,"Sep 11, 1975",0.81,22%,2.21,67%,3.02,100%,0%,0.0
Rico Farrington,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",6.33,41%,7.20,51%,0.00,0%,20%,0.0
Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7
Kelly Faszholz,"5' 8""",135 lbs.,,Orthodox,"Apr 09, 1985",4.01,48%,3.61,52%,0.00,0%,44%,0.0
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,,2.30,53%,1.60,54%,4.50,100%,25%,0.0
Carlos Felipe,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",4.42,45%,4.60,47%,0.00,0%,70%,0.0
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.70,44%,3.44,48%,0.29,28%,64%,0.2
Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.30,50%,3.41,38%,3.10,72%,36%,1.2
JP Felty,,170 lbs.,,,"Apr 28, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Ferguson,"5' 5""",125 lbs.,,Orthodox,"May 13, 1988",2.13,43%,4.18,32%,0.59,11%,54%,0.0
Rhadi Ferguson,"5' 7""",205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.46,45%,3.94,59%,0.45,42%,70%,1.1
CJ Fernandes,"6' 2""",170 lbs.,,,"Nov 13, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,"Mar 30, 1980",2.91,40%,2.02,72%,3.97,53%,77%,0.6
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,0.00,0%,0%,0.0
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.85,37%,3.26,58%,0.89,26%,68%,0.9
Timo Feucht,"6' 3""",205 lbs.,"79""",Orthodox,"Jan 18, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Scott Ferrozzo,"5' 11""",323 lbs.,,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.30,35%,30%,2.2
Scott Fiedler,"6' 4""",235 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ron Fields,"6' 2""",200 lbs.,,Orthodox,"Nov 18, 1974",0.33,33%,2.64,11%,0.00,0%,0%,0.0
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",3.38,56%,3.35,50%,1.57,50%,61%,2.4
Francisco Figueiredo,"5' 6""",135 lbs.,"69""",Southpaw,"Oct 23, 1989",1.93,54%,2.07,76%,4.00,66%,100%,0.0
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.20,100%,37%,0.6
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,,2.37,48%,3.77,49%,0.00,0%,58%,0.0
Paulo Filho,"5' 8""",185 lbs.,,Southpaw,"May 24, 1978",1.86,48%,1.67,66%,2.40,32%,42%,1.6
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.73,36%,3.90,52%,2.50,49%,64%,0.2
Brady Fink,"6' 0""",183 lbs.,,Orthodox,,1.69,41%,1.69,61%,3.63,25%,0%,3.6
Jan Finney,"5' 8""",135 lbs.,,Orthodox,,2.16,28%,8.75,42%,0.77,11%,25%,0.0
Jesse Finney,"6' 0""",170 lbs.,,,"Jul 11, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3
Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9
Manon Fiorot,"5' 7""",125 lbs.,,Orthodox,"Feb 17, 1990",5.80,53%,1.86,79%,1.64,100%,100%,0.0
Luiz Firmino,"5' 6""",154 lbs.,,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9
Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.70,46%,2.59,46%,44%,1.3
Bryanna Fissori,"5' 4""",145 lbs.,,,,1.40,46%,1.20,57%,2.00,25%,50%,0.0
Isi Fitikefu,"5' 10""",205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.99,58%,2.30,50%,1.81,50%,0%,7.2
