R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Shane Burgos;Makwan Amirkhani;1;0;105 of 155;22 of 48;67%;45%;161 of 217;23 of 49;0 of 0;3 of 19;---;15%;0;1;0;0;3:31;4:19;61 of 108;21 of 46;41 of 43;1 of 2;3 of 4;0 of 0;39 of 78;21 of 47;15 of 17;0 of 0;51 of 60;1 of 1;KO/TKO;3;4:32;3 Rnd (5-5-5);Keith Peterson;November 02, 2019;New York City, New York, USA;Featherweight Bout;Shane Burgos
Corey Anderson;Johnny Walker;1;0;22 of 39;1 of 3;56%;33%;26 of 43;1 of 3;1 of 2;0 of 0;50%;---;0;0;0;0;0:22;0:19;21 of 38;0 of 2;1 of 1;0 of 0;0 of 0;1 of 1;5 of 15;1 of 3;10 of 13;0 of 0;7 of 11;0 of 0;KO/TKO;1;2:07;3 Rnd (5-5-5);Kevin MacDonald;November 02, 2019;New York City, New York, USA;Light Heavyweight Bout;Corey Anderson
Kelvin Gastelum;Darren Till;0;0;40 of 81;36 of 67;49%;53%;50 of 96;37 of 69;1 of 4;1 of 2;25%;50%;0;0;0;0;2:43;0:38;8 of 41;19 of 48;11 of 14;2 of 2;21 of 26;15 of 17;26 of 63;34 of 61;14 of 18;2 of 6;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;November 02, 2019;New York City, New York, USA;Middleweight Bout;Darren Till
Derrick Lewis;Blagoy Ivanov;0;0;31 of 68;20 of 38;45%;52%;32 of 69;61 of 83;1 of 3;3 of 6;33%;50%;0;1;0;0;2:07;3:20;21 of 54;12 of 27;8 of 11;7 of 10;2 of 3;1 of 1;9 of 27;12 of 24;22 of 41;8 of 14;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;November 02, 2019;New York City, New York, USA;Heavyweight Bout;Derrick Lewis
Brad Tavares;Edmen Shahbazyan;0;2;3 of 23;14 of 38;13%;36%;3 of 23;14 of 38;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:04;1 of 19;12 of 36;1 of 1;2 of 2;1 of 3;0 of 0;3 of 22;10 of 32;0 of 1;2 of 4;0 of 0;2 of 2;KO/TKO;1;2:27;3 Rnd (5-5-5);Todd Ronald Anderson;November 02, 2019;New York City, New York, USA;Middleweight Bout;Edmen Shahbazyan
Andrei Arlovski;Jairzinho Rozenstruik;0;1;4 of 9;5 of 9;44%;55%;4 of 9;5 of 9;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;1 of 6;4 of 8;0 of 0;0 of 0;3 of 3;1 of 1;4 of 9;5 of 9;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:29;3 Rnd (5-5-5);Dan Miragliotta;November 02, 2019;New York City, New York, USA;Heavyweight Bout;Jairzinho Rozenstruik
Katlyn Chookagian;Jennifer Maia;0;0;73 of 180;58 of 231;40%;25%;109 of 217;74 of 248;0 of 1;1 of 2;0%;50%;0;0;0;0;0:00;2:31;45 of 142;31 of 193;15 of 21;5 of 13;13 of 17;22 of 25;73 of 180;57 of 228;0 of 0;1 of 2;0 of 0;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;November 02, 2019;New York City, New York, USA;Women's Flyweight Bout;Katlyn Chookagian
Julio Arce;Hakeem Dawodu;0;0;32 of 124;55 of 139;25%;39%;64 of 162;83 of 170;1 of 3;0 of 0;33%;---;0;0;0;1;0:56;3:39;21 of 101;15 of 79;11 of 22;25 of 42;0 of 1;15 of 18;28 of 116;40 of 121;4 of 8;11 of 14;0 of 0;4 of 4;Decision - Split;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;November 02, 2019;New York City, New York, USA;Featherweight Bout;Hakeem Dawodu
Lyman Good;Chance Rencountre;1;0;68 of 134;23 of 83;50%;27%;73 of 142;23 of 85;0 of 0;0 of 1;---;0%;0;0;0;0;0:10;0:24;52 of 113;6 of 54;6 of 10;14 of 26;10 of 11;3 of 3;59 of 124;20 of 80;8 of 9;3 of 3;1 of 1;0 of 0;KO/TKO;3;2:03;3 Rnd (5-5-5);Keith Peterson;November 02, 2019;New York City, New York, USA;Welterweight Bout;Lyman Good
Ciryl Gane;Don'Tale Mayes;1;0;94 of 168;32 of 121;55%;26%;99 of 173;40 of 132;3 of 3;0 of 0;100%;---;1;0;0;0;2:17;0:02;50 of 112;14 of 90;30 of 40;5 of 9;14 of 16;13 of 22;68 of 128;30 of 118;22 of 29;2 of 3;4 of 11;0 of 0;Submission;3;4:46;3 Rnd (5-5-5);Herb Dean;October 26, 2019;Kallang, Singapore;Heavyweight Bout;Ciryl Gane
Michael Johnson;Stevie Ray;0;0;78 of 173;85 of 188;45%;45%;81 of 176;104 of 207;0 of 0;1 of 4;---;25%;0;0;0;0;0:00;2:54;46 of 134;59 of 156;19 of 26;4 of 4;13 of 13;22 of 28;77 of 172;57 of 142;1 of 1;0 of 0;0 of 0;28 of 46;Decision - Majority;3;5:00;3 Rnd (5-5-5);Leon Roberts;October 26, 2019;Kallang, Singapore;Lightweight Bout;Stevie Ray
Enrique Barzola;Movsar Evloev;0;0;78 of 234;71 of 233;33%;30%;83 of 239;78 of 244;1 of 5;4 of 11;20%;36%;0;0;0;0;0:38;2:12;48 of 189;63 of 220;21 of 31;3 of 5;9 of 14;5 of 8;64 of 212;66 of 221;6 of 7;4 of 10;8 of 15;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;October 26, 2019;Kallang, Singapore;Featherweight Bout;Movsar Evloev
Randa Markos;Ashley Yoder;0;0;78 of 140;44 of 107;55%;41%;94 of 158;82 of 148;0 of 1;2 of 6;0%;33%;0;0;1;1;3:05;5:37;58 of 116;30 of 84;10 of 13;11 of 16;10 of 11;3 of 7;42 of 93;24 of 80;26 of 33;5 of 10;10 of 14;15 of 17;Decision - Split;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;October 26, 2019;Kallang, Singapore;Women's Strawweight Bout;Randa Markos
Frank Camacho;Beneil Dariush;0;0;3 of 9;13 of 18;33%;72%;3 of 9;14 of 19;0 of 0;2 of 2;---;100%;0;1;0;0;0:00;0:45;1 of 7;8 of 13;2 of 2;3 of 3;0 of 0;2 of 2;2 of 8;11 of 16;1 of 1;2 of 2;0 of 0;0 of 0;Submission;1;2:02;3 Rnd (5-5-5);Kevin Sataki;October 26, 2019;Kallang, Singapore;Lightweight Bout;Beneil Dariush
Muslim Salikhov;Laureano Staropoli;0;0;63 of 132;42 of 138;47%;30%;64 of 133;48 of 144;3 of 5;0 of 3;60%;0%;0;0;0;0;0:30;0:00;41 of 105;26 of 110;15 of 20;13 of 25;7 of 7;3 of 3;49 of 109;40 of 135;11 of 18;2 of 3;3 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Thomas Fan;October 26, 2019;Kallang, Singapore;Welterweight Bout;Muslim Salikhov
Demian Maia;Ben Askren;0;0;69 of 122;63 of 127;56%;49%;84 of 137;102 of 168;0 of 0;4 of 7;---;57%;1;0;2;1;1:30;1:54;44 of 88;54 of 116;25 of 34;4 of 6;0 of 0;5 of 5;49 of 99;46 of 108;17 of 20;11 of 13;3 of 3;6 of 6;Submission;3;3:54;5 Rnd (5-5-5-5-5);Herb Dean;October 26, 2019;Kallang, Singapore;Welterweight Bout;Demian Maia
Alex White;Rafael Fiziev;0;0;55 of 133;66 of 131;41%;50%;66 of 146;73 of 138;0 of 11;1 of 1;0%;100%;0;0;0;0;1:01;1:34;37 of 102;40 of 86;15 of 27;12 of 26;3 of 4;14 of 19;36 of 107;52 of 109;18 of 25;14 of 22;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;October 26, 2019;Kallang, Singapore;Lightweight Bout;Rafael Fiziev
Maurice Greene;Sergei Pavlovich;0;1;8 of 22;20 of 37;36%;54%;8 of 22;21 of 38;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:14;1 of 11;20 of 36;1 of 2;0 of 1;6 of 9;0 of 0;8 of 22;7 of 17;0 of 0;5 of 8;0 of 0;8 of 12;KO/TKO;1;2:11;3 Rnd (5-5-5);Herb Dean;October 26, 2019;Kallang, Singapore;Heavyweight Bout;Sergei Pavlovich
Loma Lookboonmee;Aleksandra Albu;0;0;99 of 151;65 of 157;65%;41%;112 of 164;77 of 171;1 of 6;1 of 3;16%;33%;0;0;0;0;0:23;2:02;31 of 66;42 of 128;54 of 71;21 of 25;14 of 14;2 of 4;38 of 74;34 of 114;61 of 77;29 of 39;0 of 0;2 of 4;Decision - Split;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;October 26, 2019;Kallang, Singapore;Women's Strawweight Bout;Loma Lookboonmee
Raphael Pessoa;Jeff Hughes;1;0;39 of 138;34 of 77;28%;44%;43 of 143;48 of 93;0 of 0;0 of 0;---;---;0;0;0;1;0:06;1:16;22 of 112;10 of 46;3 of 8;6 of 9;14 of 18;18 of 22;32 of 125;28 of 68;7 of 13;3 of 4;0 of 0;3 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Thomas Fan;October 26, 2019;Kallang, Singapore;Heavyweight Bout;Raphael Pessoa
Maycee Barber;Gillian Robertson;0;0;34 of 68;12 of 28;50%;42%;40 of 74;15 of 31;0 of 0;0 of 2;---;0%;0;0;0;0;0:22;0:44;31 of 65;8 of 21;3 of 3;2 of 3;0 of 0;2 of 4;15 of 46;11 of 27;16 of 19;1 of 1;3 of 3;0 of 0;KO/TKO;1;3:04;3 Rnd (5-5-5);Gary Forman;October 18, 2019;Boston, Massachusetts, USA;Women's Flyweight Bout;Maycee Barber
Greg Hardy;Ben Sosoli;0;0;54 of 105;26 of 97;51%;26%;54 of 105;26 of 97;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;22 of 72;15 of 78;5 of 5;10 of 18;27 of 28;1 of 1;52 of 103;26 of 96;2 of 2;0 of 1;0 of 0;0 of 0;Overturned;3;5:00;3 Rnd (5-5-5);Bryan Miner;October 18, 2019;Boston, Massachusetts, USA;Heavyweight Bout;
Deron Winn;Darren Stewart;0;0;29 of 53;57 of 119;54%;47%;66 of 98;77 of 140;6 of 15;1 of 1;40%;100%;0;0;1;0;8:02;0:30;25 of 49;54 of 115;1 of 1;3 of 4;3 of 3;0 of 0;11 of 31;31 of 88;7 of 11;14 of 17;11 of 11;12 of 14;Decision - Split;3;5:00;3 Rnd (5-5-5);Steve Rita;October 18, 2019;Boston, Massachusetts, USA;Middleweight Bout;Darren Stewart
Molly McCann;Diana Belbita;0;0;113 of 238;98 of 252;47%;38%;126 of 252;104 of 260;5 of 14;1 of 1;35%;100%;1;0;0;0;3:39;1:26;86 of 199;58 of 201;17 of 24;23 of 31;10 of 15;17 of 20;73 of 177;76 of 219;8 of 14;18 of 29;32 of 47;4 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Bryan Miner;October 18, 2019;Boston, Massachusetts, USA;Women's Flyweight Bout;Molly McCann
Charles Rosa;Manny Bermudez;0;0;6 of 8;27 of 38;75%;71%;8 of 11;37 of 49;0 of 0;1 of 1;---;100%;1;0;0;0;0:00;2:17;1 of 3;25 of 36;2 of 2;2 of 2;3 of 3;0 of 0;6 of 8;1 of 5;0 of 0;0 of 1;0 of 0;26 of 32;Submission;1;2:46;3 Rnd (5-5-5);Kevin MacDonald;October 18, 2019;Boston, Massachusetts, USA;Featherweight Bout;Charles Rosa
Joe Lauzon;Jonathan Pearce;0;0;25 of 36;8 of 19;69%;42%;28 of 39;8 of 19;1 of 2;0 of 0;50%;---;0;0;0;0;0:42;0:00;24 of 35;4 of 14;1 of 1;2 of 3;0 of 0;2 of 2;9 of 19;8 of 18;1 of 1;0 of 1;15 of 16;0 of 0;KO/TKO;1;1:33;3 Rnd (5-5-5);Herb Dean;October 18, 2019;Boston, Massachusetts, USA;Lightweight Bout;Joe Lauzon
Dominick Reyes;Chris Weidman;1;0;8 of 11;3 of 6;72%;50%;9 of 12;10 of 13;0 of 0;1 of 4;---;25%;0;0;0;0;0:09;1:10;7 of 10;1 of 4;0 of 0;2 of 2;1 of 1;0 of 0;2 of 4;1 of 3;2 of 2;1 of 1;4 of 5;1 of 2;KO/TKO;1;1:43;5 Rnd (5-5-5-5-5);Herb Dean;October 18, 2019;Boston, Massachusetts, USA;Light Heavyweight Bout;Dominick Reyes
Yair Rodriguez;Jeremy Stephens;0;0;96 of 170;50 of 95;56%;52%;136 of 213;99 of 156;0 of 3;3 of 4;0%;75%;0;0;0;0;3:10;5:34;65 of 127;35 of 76;14 of 23;10 of 10;17 of 20;5 of 9;54 of 100;19 of 51;6 of 10;6 of 11;36 of 60;25 of 33;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;October 18, 2019;Boston, Massachusetts, USA;Featherweight Bout;Yair Rodriguez
Randy Costa;Boston Salmon;2;0;22 of 44;12 of 22;50%;54%;23 of 45;16 of 26;0 of 0;0 of 1;---;0%;0;0;0;0;0:07;0:43;21 of 41;4 of 13;1 of 3;7 of 8;0 of 0;1 of 1;19 of 36;11 of 21;0 of 1;1 of 1;3 of 7;0 of 0;KO/TKO;1;2:15;3 Rnd (5-5-5);Herb Dean;October 18, 2019;Boston, Massachusetts, USA;Bantamweight Bout;Randy Costa
Brendan Allen;Kevin Holland;0;0;10 of 22;22 of 38;45%;57%;23 of 41;37 of 55;2 of 3;1 of 1;66%;100%;4;1;2;1;2:53;4:43;7 of 19;14 of 27;1 of 1;5 of 6;2 of 2;3 of 5;5 of 14;12 of 26;1 of 1;0 of 0;4 of 7;10 of 12;Submission;2;3:38;3 Rnd (5-5-5);Steve Rita;October 18, 2019;Boston, Massachusetts, USA;Middleweight Bout;Brendan Allen
Kyle Bochniak;Sean Woodson;0;0;42 of 151;111 of 251;27%;44%;52 of 161;150 of 290;1 of 15;0 of 0;6%;---;0;0;0;0;4:28;0:00;17 of 113;93 of 231;15 of 26;8 of 10;10 of 12;10 of 10;32 of 137;104 of 243;10 of 14;7 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Rita;October 18, 2019;Boston, Massachusetts, USA;Featherweight Bout;Sean Woodson
Daniel Spitz;Tanner Boser;0;0;32 of 108;93 of 151;29%;61%;32 of 108;93 of 151;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;20 of 83;33 of 86;6 of 16;25 of 27;6 of 9;35 of 38;32 of 108;93 of 151;0 of 0;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Gary Forman;October 18, 2019;Boston, Massachusetts, USA;Heavyweight Bout;Tanner Boser
Court McGee;Sean Brady;0;1;107 of 291;119 of 210;36%;56%;128 of 313;148 of 240;0 of 6;2 of 3;0%;66%;0;0;0;0;1:24;0:42;71 of 236;85 of 168;12 of 29;8 of 13;24 of 26;26 of 29;101 of 282;116 of 203;6 of 9;3 of 6;0 of 0;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Bryan Miner;October 18, 2019;Boston, Massachusetts, USA;Welterweight Bout;Sean Brady
Ryan Spann;Devin Clark;0;0;17 of 48;17 of 37;35%;45%;17 of 48;22 of 42;0 of 1;2 of 3;0%;66%;1;0;0;0;1:08;0:38;14 of 44;8 of 27;3 of 4;7 of 8;0 of 0;2 of 2;8 of 36;11 of 29;9 of 12;6 of 8;0 of 0;0 of 0;Submission;2;2:01;3 Rnd (5-5-5);Michael Cardoso;October 12, 2019;Tampa, Florida, USA;Light Heavyweight Bout;Ryan Spann
Mackenzie Dern;Amanda Ribas;0;0;20 of 145;74 of 206;13%;35%;50 of 175;84 of 216;0 of 6;2 of 2;0%;100%;0;0;0;0;0:02;1:46;16 of 135;40 of 163;3 of 8;21 of 28;1 of 2;13 of 15;19 of 144;72 of 203;0 of 0;0 of 0;1 of 1;2 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Michael Cardoso;October 12, 2019;Tampa, Florida, USA;Women's Strawweight Bout;Amanda Ribas
Mike Davis;Thomas Gifford;2;0;139 of 222;88 of 242;62%;36%;141 of 224;89 of 243;2 of 2;0 of 2;100%;0%;0;0;0;0;1:56;0:00;96 of 166;45 of 189;32 of 40;18 of 23;11 of 16;25 of 30;98 of 173;80 of 229;17 of 18;8 of 11;24 of 31;0 of 2;KO/TKO;3;4:45;3 Rnd (5-5-5);Andrew Glenn;October 12, 2019;Tampa, Florida, USA;Lightweight Bout;Mike Davis
Cub Swanson;Kron Gracie;0;0;135 of 288;86 of 200;46%;43%;143 of 296;109 of 225;0 of 0;0 of 2;---;0%;0;0;0;0;0:36;0:04;84 of 215;73 of 177;40 of 58;4 of 8;11 of 15;9 of 15;110 of 252;74 of 182;24 of 34;11 of 16;1 of 2;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;October 12, 2019;Tampa, Florida, USA;Featherweight Bout;Cub Swanson
Matt Frevola;Luis Pena;0;0;48 of 110;51 of 120;43%;42%;51 of 115;60 of 129;4 of 7;1 of 2;57%;50%;0;2;0;3;2:53;1:05;27 of 82;43 of 104;10 of 17;7 of 15;11 of 11;1 of 1;46 of 105;37 of 101;2 of 5;8 of 10;0 of 0;6 of 9;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;October 12, 2019;Tampa, Florida, USA;Lightweight Bout;Matt Frevola
Eryk Anders;Gerald Meerschaert;0;0;64 of 178;72 of 202;35%;35%;64 of 178;72 of 202;0 of 0;0 of 1;---;0%;0;0;0;0;0:09;0:00;31 of 132;56 of 185;14 of 22;13 of 14;19 of 24;3 of 3;61 of 173;71 of 201;2 of 2;1 of 1;1 of 3;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;October 12, 2019;Tampa, Florida, USA;Middleweight Bout;Eryk Anders
Joanna Jedrzejczyk;Michelle Waterson;0;0;180 of 300;58 of 160;60%;36%;226 of 347;71 of 174;3 of 5;1 of 9;60%;11%;1;1;0;0;5:33;4:59;48 of 136;25 of 84;54 of 74;12 of 40;78 of 90;21 of 36;132 of 246;44 of 141;48 of 54;14 of 19;0 of 0;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;October 12, 2019;Tampa, Florida, USA;Women's Strawweight Bout;Joanna Jedrzejczyk
Niko Price;James Vick;1;0;11 of 22;9 of 18;50%;50%;15 of 28;10 of 19;0 of 1;0 of 0;0%;---;0;0;0;0;0:47;0:13;10 of 21;6 of 15;0 of 0;1 of 1;1 of 1;2 of 2;2 of 9;5 of 11;0 of 0;0 of 0;9 of 13;4 of 7;KO/TKO;1;1:44;3 Rnd (5-5-5);Herb Dean;October 12, 2019;Tampa, Florida, USA;Welterweight Bout;Niko Price
Max Griffin;Alex Morono;0;1;75 of 166;81 of 255;45%;31%;94 of 189;87 of 261;4 of 5;0 of 1;80%;0%;0;0;0;0;2:35;0:26;37 of 115;60 of 229;33 of 45;11 of 15;5 of 6;10 of 11;69 of 156;68 of 237;5 of 9;12 of 16;1 of 1;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;October 12, 2019;Tampa, Florida, USA;Welterweight Bout;Alex Morono
Deiveson Figueiredo;Tim Elliott;0;0;8 of 13;26 of 38;61%;68%;8 of 13;33 of 45;0 of 1;1 of 3;0%;33%;1;0;0;0;0:00;0:04;8 of 13;10 of 16;0 of 0;1 of 5;0 of 0;15 of 17;6 of 10;20 of 28;2 of 3;6 of 10;0 of 0;0 of 0;Submission;1;3:08;3 Rnd (5-5-5);Kevin MacDonald;October 12, 2019;Tampa, Florida, USA;Flyweight Bout;Deiveson Figueiredo
Marlon Vera;Andre Ewell;0;0;80 of 133;50 of 131;60%;38%;87 of 140;67 of 148;0 of 1;0 of 1;0%;0%;2;0;0;0;1:12;2:33;41 of 83;38 of 112;19 of 26;11 of 18;20 of 24;1 of 1;51 of 95;49 of 124;15 of 21;1 of 6;14 of 17;0 of 1;KO/TKO;3;3:17;3 Rnd (5-5-5);Andrew Glenn;October 12, 2019;Tampa, Florida, USA;Bantamweight Bout;Marlon Vera
Miguel Baeza;Hector Aldana;1;0;35 of 61;8 of 42;57%;19%;35 of 61;8 of 42;1 of 1;0 of 0;100%;---;0;0;0;0;0:00;0:09;16 of 38;2 of 30;3 of 7;0 of 4;16 of 16;6 of 8;29 of 51;8 of 42;0 of 0;0 of 0;6 of 10;0 of 0;KO/TKO;2;2:32;3 Rnd (5-5-5);Michael Cardoso;October 12, 2019;Tampa, Florida, USA;Welterweight Bout;Miguel Baeza
Marvin Vettori;Andrew Sanchez;0;0;85 of 205;39 of 185;41%;21%;86 of 206;39 of 185;0 of 0;0 of 2;---;0%;0;0;0;0;0:20;0:00;72 of 187;21 of 146;10 of 14;6 of 17;3 of 4;12 of 22;74 of 188;38 of 183;11 of 17;1 of 2;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;October 12, 2019;Tampa, Florida, USA;Middleweight Bout;Marvin Vettori
JJ Aldrich;Lauren Mueller;0;0;74 of 160;54 of 147;46%;36%;78 of 164;60 of 153;1 of 2;1 of 1;50%;100%;0;0;0;0;1:52;0:21;59 of 142;34 of 117;10 of 11;10 of 20;5 of 7;10 of 10;70 of 151;52 of 145;4 of 9;2 of 2;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;October 12, 2019;Tampa, Florida, USA;Women's Flyweight Bout;JJ Aldrich
Justin Tafa;Yorgan De Castro;0;1;6 of 9;4 of 12;66%;33%;17 of 20;6 of 14;0 of 0;0 of 0;---;---;0;0;0;0;1:09;0:12;5 of 8;2 of 10;1 of 1;2 of 2;0 of 0;0 of 0;2 of 3;4 of 8;4 of 6;0 of 4;0 of 0;0 of 0;KO/TKO;1;2:10;3 Rnd (5-5-5);Jim Perdios;October 05, 2019;Melbourne, Victoria, Australia;Heavyweight Bout;Yorgan De Castro
Robert Whittaker;Israel Adesanya;0;2;32 of 116;40 of 95;27%;42%;32 of 116;40 of 95;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:04;20 of 97;27 of 80;3 of 5;6 of 8;9 of 14;7 of 7;32 of 116;37 of 91;0 of 0;0 of 0;0 of 0;3 of 4;KO/TKO;2;3:33;5 Rnd (5-5-5-5-5);Marc Goddard;October 05, 2019;Melbourne, Victoria, Australia;UFC Middleweight Title Bout;Israel Adesanya
Jake Matthews;Rostem Akman;0;0;59 of 133;15 of 110;44%;13%;61 of 136;15 of 110;0 of 2;0 of 0;0%;---;0;0;0;0;0:49;0:03;19 of 76;8 of 94;20 of 35;6 of 15;20 of 22;1 of 1;53 of 127;11 of 104;6 of 6;4 of 6;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;October 05, 2019;Melbourne, Victoria, Australia;Welterweight Bout;Jake Matthews
Tai Tuivasa;Serghei Spivac;0;0;21 of 50;23 of 42;42%;54%;22 of 51;40 of 60;0 of 0;6 of 8;---;75%;0;1;0;0;0:05;4:21;8 of 32;22 of 41;4 of 8;1 of 1;9 of 10;0 of 0;17 of 39;8 of 27;4 of 9;1 of 1;0 of 2;14 of 14;Submission;2;3:14;3 Rnd (5-5-5);Steve Perceval;October 05, 2019;Melbourne, Victoria, Australia;Heavyweight Bout;Serghei Spivac
Brad Riddell;Jamie Mullarkey;0;0;91 of 153;36 of 95;59%;37%;104 of 167;41 of 100;1 of 1;3 of 15;100%;20%;0;1;1;1;2:59;3:23;70 of 129;25 of 83;14 of 16;4 of 4;7 of 8;7 of 8;63 of 121;35 of 93;3 of 3;0 of 0;25 of 29;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 05, 2019;Melbourne, Victoria, Australia;Lightweight Bout;Brad Riddell
Al Iaquinta;Dan Hooker;0;1;37 of 116;98 of 207;31%;47%;38 of 117;104 of 213;0 of 3;0 of 1;0%;0%;0;0;0;0;0:24;2:29;21 of 93;68 of 168;7 of 11;7 of 13;9 of 12;23 of 26;37 of 116;76 of 182;0 of 0;0 of 0;0 of 0;22 of 25;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;October 05, 2019;Melbourne, Victoria, Australia;Lightweight Bout;Dan Hooker
Callan Potter;Maki Pitolo;0;0;48 of 96;60 of 155;50%;38%;127 of 198;103 of 198;3 of 4;0 of 2;75%;0%;0;1;1;1;8:25;1:34;44 of 91;49 of 142;2 of 3;9 of 11;2 of 2;2 of 2;41 of 89;60 of 155;4 of 4;0 of 0;3 of 3;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;October 05, 2019;Melbourne, Victoria, Australia;Welterweight Bout;Callan Potter
Luke Jumeau;Dhiego Lima;0;0;24 of 95;32 of 105;25%;30%;24 of 95;49 of 124;0 of 0;2 of 6;---;33%;0;0;0;0;0:00;2:40;17 of 85;15 of 72;1 of 4;2 of 12;6 of 6;15 of 21;24 of 95;30 of 99;0 of 0;0 of 0;0 of 0;2 of 6;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 05, 2019;Melbourne, Victoria, Australia;Welterweight Bout;Dhiego Lima
Megan Anderson;Zarah Fairn;0;0;10 of 18;2 of 5;55%;40%;22 of 33;32 of 45;1 of 2;0 of 0;50%;---;1;0;0;1;3:23;0:23;10 of 17;2 of 5;0 of 1;0 of 0;0 of 0;0 of 0;0 of 4;2 of 5;0 of 1;0 of 0;10 of 13;0 of 0;Submission;1;3:57;3 Rnd (5-5-5);John Sharp;October 05, 2019;Melbourne, Victoria, Australia;Women's Featherweight Bout;Megan Anderson
Khalid Taha;Bruno Silva;1;0;38 of 88;20 of 50;43%;40%;74 of 127;51 of 88;0 of 1;2 of 11;0%;18%;1;0;0;0;0:39;6:59;29 of 69;9 of 33;4 of 11;8 of 11;5 of 8;3 of 6;19 of 62;10 of 31;6 of 7;1 of 1;13 of 19;9 of 18;Overturned;3;3:00;3 Rnd (5-5-5);Greg Kleynjans;October 05, 2019;Melbourne, Victoria, Australia;Bantamweight Bout;
Nadia Kassem;Ji Yeon Kim;0;1;45 of 131;80 of 179;34%;44%;53 of 139;83 of 185;1 of 2;0 of 0;50%;---;0;0;0;0;1:03;0:10;9 of 67;64 of 151;31 of 56;12 of 19;5 of 8;4 of 9;40 of 119;74 of 167;4 of 8;5 of 8;1 of 4;1 of 4;KO/TKO;2;4:59;3 Rnd (5-5-5);Jim Perdios;October 05, 2019;Melbourne, Victoria, Australia;Women's Flyweight Bout;Ji Yeon Kim
Ion Cutelaba;Khalil Rountree Jr.;0;0;15 of 26;5 of 12;57%;41%;16 of 27;5 of 12;4 of 5;0 of 0;80%;---;0;0;0;0;1:20;0:00;14 of 25;4 of 11;1 of 1;1 of 1;0 of 0;0 of 0;1 of 5;3 of 7;1 of 2;2 of 5;13 of 19;0 of 0;KO/TKO;1;2:35;3 Rnd (5-5-5);Marc Goddard;September 28, 2019;Copenhagen, Denmark;Light Heavyweight Bout;Ion Cutelaba
